DATE,spindx
19620702,55.86
19620703,56.49
19620705,56.81
19620706,56.17
19620709,56.55
19620710,57.20
19620711,57.73
19620712,58.03
19620713,57.83
19620716,57.83
19620717,56.78
19620718,56.20
19620719,56.42
19620720,56.81
19620723,56.80
19620724,56.36
19620725,56.46
19620726,56.77
19620727,57.20
19620730,57.83
19620731,58.23
19620801,57.75
19620802,57.98
19620803,58.12
19620806,57.75
19620807,57.36
19620808,57.51
19620809,57.47
19620810,57.55
19620813,57.63
19620814,58.25
19620815,58.66
19620816,58.64
19620817,59.01
19620820,59.37
19620821,59.12
19620822,59.78
19620823,59.70
19620824,59.58
19620827,59.55
19620828,58.79
19620829,58.66
19620830,58.68
19620831,59.12
19620904,58.56
19620905,58.12
19620906,58.36
19620907,58.38
19620910,58.45
19620911,58.59
19620912,58.84
19620913,58.70
19620914,58.89
19620917,59.08
19620918,59.03
19620919,58.95
19620920,58.54
19620921,57.69
19620924,56.63
19620925,56.96
19620926,56.15
19620927,55.77
19620928,56.27
19621001,55.49
19621002,56.10
19621003,56.16
19621004,56.70
19621005,57.07
19621008,57.07
19621009,57.20
19621010,57.24
19621011,57.05
19621012,56.95
19621015,57.27
19621016,57.08
19621017,56.89
19621018,56.34
19621019,55.59
19621022,54.96
19621023,53.49
19621024,55.21
19621025,54.69
19621026,54.54
19621029,55.72
19621030,56.54
19621031,56.52
19621101,57.12
19621102,57.75
19621105,58.35
19621107,58.71
19621108,58.32
19621109,58.78
19621112,59.59
19621113,59.46
19621114,60.16
19621115,59.97
19621116,60.16
19621119,59.82
19621120,60.45
19621121,60.81
19621123,61.54
19621126,61.36
19621127,61.73
19621128,62.12
19621129,62.41
19621130,62.26
19621203,61.94
19621204,62.64
19621205,62.89
19621206,62.93
19621207,63.06
19621210,62.27
19621211,62.32
19621212,62.63
19621213,62.42
19621214,62.57
19621217,62.37
19621218,62.07
19621219,62.58
19621220,62.82
19621221,62.64
19621224,62.63
19621226,63.02
19621227,62.93
19621228,62.96
19621231,63.10
19630102,62.69
19630103,63.72
19630104,64.13
19630107,64.12
19630108,64.74
19630109,64.59
19630110,64.71
19630111,64.85
19630114,65.20
19630115,65.11
19630116,64.67
19630117,65.13
19630118,65.18
19630121,65.28
19630122,65.44
19630123,65.62
19630124,65.75
19630125,65.92
19630128,66.24
19630129,66.23
19630130,65.85
19630131,66.20
19630201,66.31
19630204,66.17
19630205,66.11
19630206,66.40
19630207,66.17
19630208,66.17
19630211,65.76
19630212,65.83
19630213,66.15
19630214,66.35
19630215,66.41
